City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,utrik,11.2278,169.8474,27.92,80,100,8.73,MH,1699816483
301,saint-francois,46.4154,3.9054,13.14,95,100,2.06,FR,1699816484
302,banda aceh,5.5577,95.3222,26.45,82,100,2.9,ID,1699816484
303,las palmas de gran canaria,28.0997,-15.4134,23.21,83,0,6.69,ES,1699816224
304,naryn,41.4287,75.9911,-5.65,70,66,3.5,KG,1699816485
305,elizabeth city,36.2946,-76.2511,14.47,76,100,8.23,US,1699816485
306,pine ridge,28.9383,-82.4734,25.49,75,100,4.12,US,1699816486
307,taco pozo,-25.6167,-63.2833,32.93,54,44,7.97,AR,1699816488
308,shenjiamen,29.9576,122.298,10.62,60,10,10.99,CN,1699816488
309,voznesenskoye,54.89,42.7569,5.69,90,100,7.15,RU,1699816489
310,gisborne,-38.6533,178.0042,14.59,62,0,1.41,NZ,1699816390
311,mount isa,-20.7333,139.5,19.87,88,0,0.0,AU,1699816490
312,ghatanji,20.1333,78.3167,21.83,47,68,0.65,IN,1699816490
313,nellore,14.4333,79.9667,24.84,78,100,1.88,IN,1699816435
314,phek,25.6667,94.5,8.21,98,13,0.75,IN,1699816491
315,mek'ele,13.4967,39.4753,17.41,61,96,6.32,ET,1699816491
316,siracusa,37.0881,15.2792,22.66,55,100,7.96,IT,1699816492
317,assab,13.0092,42.7394,28.11,74,2,9.38,ER,1699816492
318,ocean shores,46.9737,-124.1563,10.57,92,100,3.13,US,1699816492
319,ta`u,-14.2336,-169.5144,27.58,81,7,5.64,AS,1699816493
320,choibalsan,48.0667,114.5,-8.91,79,2,5.16,MN,1699816493
321,kijang,35.2442,129.2139,-0.15,51,0,3.28,KR,1699816493
322,auki,-8.7676,160.7034,24.56,88,100,2.14,SB,1699816494
323,saint croix,17.7397,-64.7388,31.25,74,40,7.72,VI,1699816411
324,lorengau,-2.0226,147.2712,26.0,80,95,2.29,PG,1699816494
325,krasnyy chikoy,50.3643,108.7512,-12.48,98,50,0.88,RU,1699816495
326,kamloops,50.6665,-120.3192,5.32,67,100,4.63,CA,1699816329
327,richards bay,-28.783,32.0377,20.16,78,100,5.05,ZA,1699816496
328,turpan,42.9333,89.1667,6.16,31,14,0.4,CN,1699816496
329,cabedelo,-6.9811,-34.8339,29.37,64,0,6.42,BR,1699816211
330,ballina,-28.8667,153.5667,19.32,88,5,4.22,AU,1699816497
331,magadan,59.5667,150.8,-11.47,68,100,5.06,RU,1699816497
332,sabrum,23.0,91.7319,18.47,92,5,1.13,IN,1699816498
333,port moresby,-9.4431,147.1797,21.68,94,75,2.57,PG,1699816498
334,el bauga,18.262,33.9081,32.09,24,100,3.69,SD,1699816498
335,papao,-17.75,-149.55,28.82,78,16,1.29,PF,1699816498
336,pandan,14.0453,124.1694,27.1,86,99,5.81,PH,1699816499
337,gizo,-8.103,156.8419,27.23,78,100,5.43,SB,1699816499
338,fuman,37.2273,49.3142,18.84,60,78,1.09,IR,1699816499
339,bikenibeu village,1.3673,173.1241,26.98,94,100,4.63,KI,1699816500
340,chissamba,-12.1667,17.3333,18.27,96,100,3.09,AO,1699816283
341,ashmyany,54.425,25.9378,5.0,87,100,7.37,BY,1699816500
342,fale old settlement,-9.3852,-171.2468,28.65,72,100,0.98,TK,1699816500
343,al kharijah,25.4514,30.5464,27.02,38,23,4.71,EG,1699816501
